response_id,containing_elements,continuation_of_prompt,considered_as_narrative,narrative_agent,type_of_narrator
wp001r001,yes,no,no,NA,NA
wp001r002,yes,yes,yes,UNKNOWN,UNKNOWN
wp001r003,yes,yes,yes,TUMBLR,UNKNOWN
wp001r004,yes,yes,yes,TUMBLR,EN
wp001r005,yes,no,yes,TUMBLR,CN
wp001r006,no,no,no,NA,NA
wp001r007,yes,yes,yes,TUMBLR,CN
wp001r008,yes,no,no,NA,NA
wp001r009,yes,yes,yes,TUMBLR,EN
wp001r010,yes,no,no,NA,NA
wp001r011,no,no,no,NA,NA
wp001r012,yes,no,no,NA,NA
wp001r013,yes,no,no,NA,NA
wp001r014,no,no,no,NA,NA
wp001r015,yes,no,no,NA,NA
wp001r016,yes,no,no,NA,NA
wp001r017,no,no,no,NA,NA
wp001r018,no,no,no,NA,NA
wp001r019,yes,yes,yes,TUMBLR,CN
wp001r020,yes,yes,no,NA,NA
wp002r001,no,no,no,NA,NA
wp002r002,no,no,no,NA,NA
wp002r003,no,no,no,NA,NA
wp002r004,no,yes,no,NA,NA
wp002r005,no,no,no,NA,NA
wp002r006,no,no,no,NA,NA
wp002r007,yes,yes,yes,UNKNOWN,UNKNOWN
wp002r008,yes,yes,no,NA,NA
wp002r009,yes,yes,yes,TUMBLR,UNKNOWN
wp002r010,yes,yes,yes,IN,EN
wp002r011,yes,no,no,NA,NA
wp002r012,no,no,no,NA,NA
wp002r013,no,yes,no,NA,NA
wp002r014,yes,yes,yes,TUMBLR,CN
wp002r015,no,no,no,NA,NA
wp002r016,yes,yes,yes,IN,CN
wp002r017,yes,no,no,NA,NA
wp002r018,yes,no,no,NA,NA
wp002r019,no,no,no,NA,NA
wp002r020,no,no,no,NA,NA
wp003r001,yes,yes,yes,TUMBLR,EN
wp003r002,no,yes,no,NA,NA
wp003r003,yes,yes,yes,IN,CN
wp003r004,no,no,no,NA,NA
wp003r005,yes,yes,yes,TUMBLR,CN
wp003r006,no,yes,no,NA,NA
wp003r007,yes,yes,yes,TUMBLR,EN
wp003r008,yes,yes,no,NA,NA
wp003r009,yes,yes,no,NA,NA
wp003r010,yes,yes,yes,TUMBLR,CN
wp003r011,no,yes,no,NA,NA
wp003r012,no,no,no,NA,NA
wp003r013,yes,yes,no,NA,NA
wp003r014,no,no,no,NA,NA
wp003r015,no,yes,no,NA,NA
wp003r016,no,no,no,NA,NA
wp003r017,yes,yes,yes,TUMBLR,EN
wp003r018,yes,yes,no,NA,NA
wp003r019,yes,yes,yes,TUMBLR,EN
wp003r020,no,no,no,NA,NA
wp004r001,no,no,no,NA,NA
wp004r002,yes,yes,yes,IN,CN
wp004r003,yes,yes,yes,TUMBLR,CN
wp004r004,no,yes,no,NA,NA
wp004r005,yes,yes,no,NA,NA
wp004r006,yes,yes,no,NA,NA
wp004r007,no,yes,no,NA,NA
wp004r008,no,yes,yes,TUMBLR,CN
wp004r009,no,no,no,NA,NA
wp004r010,no,no,no,NA,NA
wp004r011,no,no,no,NA,NA
wp004r012,no,no,no,NA,NA
wp004r013,no,no,no,NA,NA
wp004r014,no,yes,no,NA,NA
wp004r015,no,no,no,NA,NA
wp004r016,no,no,no,NA,NA
wp004r017,no,no,no,NA,NA
